id,author,author_type,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,district,street,underground,residential_complex,price
0,BARNES International Realty,real_estate_agent,Москва,sale,flat,3,7,4,118.0,Таганский,Серебрянический переулок,Китай-город,Титул на Серебрянической,104.5
1,Гранит Инвест,real_estate_agent,Санкт-Петербург,sale,flat,6,14,2,55.9,Василеостровский,набережная Реки Смоленки,Приморская,Айно,15.2048
2,А101,developer,Москва,sale,flat,15,18,3,52.5,,,Прокшино,Прокшино ЖК,19.557878
3,Арсенал-Недвижимость,developer,Санкт-Петербург,sale,flat,2,12,1,53.48,Приморский,проспект Авиаконструкторов,Комендантский проспект,Modum,12.033
4,Contact Real Estate,real_estate_agent,Москва,sale,flat,14,16,4,136.5,Пресненский, Костикова,Улица 1905 года,Lucky,175.0
5,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,5,15,2,30.05,Невский,Невский,Ломоносовская,Пульс Премьер ЖК,7.800168
6,Whitewill,real_estate_agent,Москва,sale,flat,9,12,4,101.1,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,75.0
7,Петербургская Недвижимость,real_estate_agent,Санкт-Петербург,sale,flat,5,14,1,34.65,Приморский,м. Комендантский проспект,Комендантский проспект,Чистое Небо ЖК,8.99
8,Арсенал-Недвижимость,developer,Санкт-Петербург,sale,flat,2,12,2,65.08,Приморский,проспект Авиаконструкторов,Комендантский проспект,Modum,14.643
9,Kalinka Group,real_estate_agent,Москва,sale,flat,6,8,3,142.8,Якиманка,Софийская набережная,Третьяковская,Софийский,214.0
10,GRAVION,developer,Москва,sale,flat,2,9,2,75.49,Якиманка,Ленинский проспект,Октябрьская,Клубный дом CULT,94.3625
11,Этажи Москва,real_estate_agent,Москва,sale,flat,2,5,1,30.0,Дорогомилово,Студенческая ,Кутузовская,,16.98
12,Whitewill,real_estate_agent,Москва,sale,flat,4,25,3,102.0,Очаково-Матвеевское,Нежинская ,Минская,Городские резиденции SPIRES,79.0
13,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,2,15,2,74.0,Аэропорт,Ленинградский проспект,Динамо,ВТБ Арена парк,39.0
14,Unique,real_estate_agent,Москва,sale,flat,4,13,2,63.7,Даниловский,Подольское шоссе,Тульская,Logos,33.0
15,ID 111759195,developer,Москва,sale,flat,3,9,2,45.1,Рязанский,Окская ,Окская,balance,19.5734
16,Intermark Real Estate,real_estate_agent,Москва,sale,flat,1,3,5,357.0,Тверской,Долгоруковская ,Новослободская,Cameo Moscow Villas,357.0
17,Whitewill,real_estate_agent,Москва,sale,flat,44,44,2,86.3,Хорошево-Мневники, Шеногина,Шелепиха,Sydney City,40.0
18,ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,Москва,sale,flat,23,43,1,45.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Сердце Столицы,29.5
19,Времена года,real_estate_agent,Москва,sale,flat,10,14,2,44.0,Раменки,проспект Генерала Дорохова,Минская,Собрание клубных домов West Garden,33.0
20,GloraX,developer,Санкт-Петербург,sale,flat,2,18,1,38.99,Василеостровский,Морской,,Глоракс Василеостровский ЖК,11.159999
21,Whitewill,real_estate_agent,Москва,sale,flat,8,9,5,257.0,Хамовники,Саввинская набережная,Киевская,SAVVIN RIVER RESIDENCE,390.0
22,А101,developer,Москва,sale,flat,6,16,3,87.3,Сокол, Зорге,Панфиловская,Дом на Зорге,34.612302
23,BARNES International Realty,real_estate_agent,Москва,sale,flat,75,97,2,188.5,Пресненский,набережная Пресненская,Международная,Башня Федерация,125.0
24,Анастасия Иванова,realtor,Москва,sale,flat,3,18,4,102.0,Раменки, Янковского,Аминьевская,,61.85
25,ЭЛИТА-ЭКО,developer,Москва,sale,flat,2,14,2,41.49,Дорогомилово,1-й Можайский тупик,Киевская,D'ORO MILLE,36.63567
26,ID 78735990,unknown,Москва,sale,flat,14,14,1,21.0,Солнцево,Домостроительная улица,Мещерская,Мещерский лес,8.9
27,Kalinka Group,real_estate_agent,Москва,sale,flat,8,13,3,99.71,Хамовники, Усачева,Спортивная,Садовые кварталы,114.0
28,Whitewill,real_estate_agent,Москва,sale,flat,3,14,4,208.0,Хамовники,Погодинская ,Киевская,Жизнь на Плющихе,348.4
29,Метриум-Премиум Городская недвижимость,real_estate_agent,Москва,sale,flat,2,8,3,94.1,Пресненский,Малый Кисловский переулок,Арбатская,Рахманинов,153.0
30,VESPER,developer,Москва,sale,flat,8,9,2,62.3,Тверской,1-я Тверская-Ямская ,Маяковская,Vesper Tverskaya,85.974
31,ЛСР,developer,Москва,sale,flat,7,23,3,80.7,Западное Дегунино,Северный ао,Селигерская,Дмитровское небо ЖК,28.387079
32,Contact Real Estate,real_estate_agent,Москва,sale,flat,7,21,4,137.0,Пресненский,2-я Звенигородская ,Улица 1905 года,,150.0
33,BEYOND. ex-Engel  Volkers,real_estate_agent,Санкт-Петербург,sale,flat,6,7,2,67.6,Адмиралтейский,Конногвардейский бульвар,,Монферран,54.9
34,ЛСР Санкт-Петербург,developer,Санкт-Петербург,sale,flat,3,25,1,32.7,Невский,Октябрьская набережная ЖК,Елизаровская,Октябрьская набережная ЖК,6.1149
35,Apple Real Estate,real_estate_agent,Москва,sale,flat,8,21,4,188.0,Пресненский,Большой Тишинский переулок,Краснопресненская,"Большой Тишинский переулок, 10с1",155.0
36,Петербургская Недвижимость,representative_developer,Санкт-Петербург,sale,flat,11,12,1,33.73,Приморский,Коломяги,Озерки,Прайм Приморский ЖК,8.800123
37,Whitewill,real_estate_agent,Москва,sale,flat,5,8,3,87.2,Таганский,Серебряническая набережная,Китай-город,Титул на Серебрянической,99.5
38,ID 96188341,unknown,Санкт-Петербург,sale,flat,5,20,4,114.7,Василеостровский, Челюскина,Приморская,Golden City,29.7
